"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"39",70.9562257227617,10.7905230960652,0,3140.55012582189,-23.2231729111322,0,NA,1,-8.5,80.6296395811348,-28.8996413225308,-17.8104793085716,0,0,NA,NA,2338,3876,0,0,0,"VIIRS"
"40",71.0821989415285,10.6793733050418,0.301797802685606,4104.19010098769,-29.8777363609502,6.627038619465,41.7620235927298,-1,-8.9,72.967804905116,-36.2395160008222,-24.9797514943406,0,3.42,0.529040172756064,2.05964964187714,3202.25,5071,0.0467889908256881,0.686226525283727,0,"VIIRS"
"41",70.7691555179468,10.9639532114142,0.289931470743279,4109.92016634449,-29.9727481249074,6.52339659110887,35.2197309740951,0,-7.9,72.911549229778,-36.4537609914317,-25.225736483559,0,3.21,0.479287985131882,1.61616541107395,3254,5069,0.0284884462542315,0.651628065653311,0,"VIIRS"
"42",70.4749139471523,11.3161562736349,0.290097542906532,4211.67477466355,-30.7433981095415,4.49173416471177,16.21105583382,1,-6.9,72.8258525743919,-37.2790009552613,-26.3683764334768,0,3.09,0.423911891459062,1.05846635154673,3443,5160,0.0378787878787879,0.60565507288209,0,"VIIRS"
"43",70.5619297484522,11.2054033474028,0.1989452766738,3716.13107612348,-27.1610340175817,4.03319168450018,16.1715445094287,-1,-7.2,64.6827827881382,-33.5257461197674,-21.4962866470217,0,1.39,0.481048500249635,1.26251880517014,2680,4636,0.0291616038882139,0.427255964805071,0,"VIIRS"
"44",70.2802548770422,11.6085264852822,0.188747585318738,3864.35697037992,-28.1407675651458,3.85862846104315,17.4771122721404,0,-6.2,64.4725482936252,-34.620776071772,-22.0239641238935,0,1.28,0.428339725715694,1.40835761835326,2744,4780,0.02460024600246,0.359347986118414,0,"VIIRS"
"45",70.0179803903866,12.0754422113453,0.199261373174417,4219.72066476417,-30.7738763851703,2.20821806278329,7.89229266355176,1,-5.2,64.2455791505791,-37.0330159660429,-27.219405146176,0,1.98,0.381985540687764,0.766742101285821,3583.5,5140,0.0212236688895946,0.432012920592194,0,"VIIRS"
"46",70.1213091951273,11.8837515214062,0.239682722151971,2691.33693527993,-17.2444791310574,5.19172261179446,19.5959115115122,-1,-5.6,57.1182848603288,-31.708631199412,-7.91156724244354,0,2.3,2.84003207244714,17.694504557426,1788,4354,0.0900707343650599,0.354446267051804,0,"VIIRS"
"47",69.8709007268522,12.3841410720256,0.211644884022136,3071.24779229967,-20.5212440175569,4.44969975273774,16.2702275504087,0,-4.6,56.8262192393736,-33.1686711354181,-9.41921717636285,0,1.74,1.42320148234415,15.3818933171264,1897,4533,0.0364564999369035,0.3390393389336,0,"VIIRS"
"48",69.6524066278623,13.0180433500611,0.195215311004785,3763.41501196155,-26.6386538166666,3.76327751196166,14.5376801904573,1,-3.6,56.52307715311,-35.0492660529911,-16.9892068445682,0,1.67,0.766567282976466,12.3997070480691,2388,4775,0.0309259657539912,0.322631997631998,0,"VIIRS"
"49",69.708935033295,12.7820768467091,0.353277875295734,3745.81430315984,-25.8536613133104,6.66429291002057,20.2513744230635,-1,-3.9,52.1306769442113,-35.2555760439485,-14.3865269586444,0,5.05,4.8935718157646,23.9979561650461,2230,4859,0.131561078153526,0.528835479704075,0,"VIIRS"
"50",69.5231054665413,13.5658472691236,0.318864400448263,4167.92454239822,-29.5111236001745,5.50043780351143,18.3716442353349,0,-2.9,51.8773029510646,-36.6124609844759,-31.0976362261921,0,3.73,4.28259642227594,22.5851315591853,4231,5018,0.0834312573443008,0.50729620661824,1.04,"VIIRS"
"51",69.3633660280675,14.3248729774862,0.305071083101275,4440.67634519259,-31.9459264190906,5.51641066979331,13.74671693161,1,-1.9,51.6535138502125,-37.1361709615215,-33.3511761274189,0,3.5375,3.31156317918308,19.5057139263574,4516,5069,0.0414306057986341,0.50679542566709,0.76,"VIIRS"
"52",69.409395013352,14.0969436556328,0.400219860754855,4501.55031146941,-32.3220709317773,6.23490436057158,10.6913494677315,-1,-2.2,51.6744946866984,-36.3029959980398,-33.3670461267233,0,5.69,0.773336208694932,14.5837362003442,4574,5025,0.0960473348799213,0.645586569945187,1.42,"VIIRS"
"53",69.2685840374547,14.8581854574416,0.348883309105326,4350.62071061874,-31.2006079083852,5.67539976212499,9.09478675007227,0,-1.2,51.6046597066209,-36.1700847538654,-32.6211561594158,0,5,0.74447370615087,12.9406629337332,4427,4968.25,0.0907941373694798,0.587019731101977,0,"VIIRS"
"54",69.1611006937416,15.5493120903429,0.319939634031315,4281.24921915662,-30.5995750718776,6.49007860152176,10.975134265205,1,-0.2,51.5610840721876,-36.4696309907362,-28.0188563611358,0,5.64,0.894687028502236,14.9388224640672,4063.25,5001,0.0832087075383765,0.536580304172664,0,"VIIRS"
"55",69.1912517343541,15.3472802258573,0.220271800679502,4521.89977349943,-32.7514950438503,3.22101925254814,2.63980725108706,-1,-0.5,56.008261608154,-35.6920010248199,-33.7320561107248,0,1.5075,0.480565884619923,4.46522543057788,4638,4936.75,0.0178493107769424,0.368425269905533,0,"VIIRS"
"56",78.1796848375628,7.24467989586718,0.988912842623961,4214.77556205729,-28.5158911029788,14.2018316907915,42.5022312734084,-1,-25,61.141878657222,-35.4301460362971,-22.6151215979829,6.29,20.58,26.2428347071979,53.7868078309741,3153,5465,0.937112488928255,1,11.93,"VIIRS"
"57",77.6921663221034,7.33941662039673,0.996424847311187,4754.06226724261,-31.6138917007337,14.6241464322955,42.99762609909,0,-24,60.7042134664085,-36.8108359757811,-25.4637864731252,8.18,20.5175,29.667226505636,51.3549507178329,3715,5676,0.978184991273996,1,10.51,"VIIRS"
"58",77.2159257384874,7.44558828018205,1,5716.03714202645,-37.0959336268264,9.40651330135195,36.8885550208554,1,-23,60.2857842709696,-38.6279508961364,-36.3823459945619,7.07,9.7,27.6694517537532,47.5692376188576,5596,5997,1,1,8.35,"VIIRS"
"59",77.3587979135722,7.41373678224645,0.268256333830104,6508.22754491018,-41.8278464145668,13.6184351713859,NA,-1,-23.3,63.868345752608,-43.0794857010245,-39.2032383709214,0,23.385,NA,NA,6115.5,6697.5,0.0487498367933151,0.758930555555556,0,"VIIRS"
